Obesity data- http://www.cdc.gov/obesity/data/table-adults.html ( 2014),,,,,,,,,,,
,,,,,,,,,,,
MEDHHINC 2010- Median Household Income ( 2010),,,,,,,,,,,
"Fast-food restaurants/1,000 pop (% change), 2007-12- (PCH_FFRPTH_07_12)                              Farmers' markets/1,000 pop (% change), 2009-13 (PCH_FMRKTPTH_09_13)                                    Grocery stores/1,000 pop (% change), 2007-12 (PCH_GROCPTH_07_12)                                   Supercenters & club stores (% change), 2007-12 ( PCH_SUPERC_07_12)                                 Convenience Stores ( % change), 2007-2012 (PCH_CONVSPTH_07_12)",,,,,,,,,,,
FIPS Code,State,POVRATE10,Obesity (%),MEDHHINC10,PCH_FFRPTH_07_12,,,PCH_FMRKTPTH_09_13,PCH_GROCPTH_07_12,PCH_SUPERC_07_12,Convenience stores
5111,AR,18.3,,32130,8.382721995,5111,AR,0,-23.22890525,,-18.11083227
5113,AR,17.1,,29938,20.22807332,5113,AR,0.141754607,-29.73684027,-1.631576376,-24.77708782
5115,AR,19.2,,39040,-2.130588944,5115,AR,-0.261147113,-41.05592289,,-20.98307501
5117,AR,32.7,,36898,-58.31638685,5117,AR,,38.94537716,0,-10.67797183
5119,AR,9.6,,44733,6.542946644,5119,AR,0,-12.8342337,141.0265508,-36.7942459
5121,AR,22.5,,33401,0.613496933,5121,AR,0,25.76687117,0.613496933,-41.30879346
5123,AR,23.7,,29825,-25.20959469,5123,AR,97.92877729,-17.57792068,-3.840907459,26.52512176
5125,AR,20.5,,53430,51.38720998,5125,AR,91.87126583,-26.89551228,-14.711431,-49.52309182
5127,AR,23.5,,29633,-17.93642144,5127,AR,0,-31.61368453,0,-41.38315817
5129,AR,25.1,,27896,34.11598185,5129,AR,120.9223222,101.1739728,0,76.02722618
5131,AR,22.4,,38724,-4.369854836,5131,AR,,-4.369854836,19.53768146,-43.29894048
5133,AR,21.6,,35279,90.67357513,5133,AR,,-52.33160622,,122.4525043
5135,AR,20.9,,28933,-30.65947383,5135,AR,-55.54159775,-21.99190806,4.010789258,-78.33108557
5137,AR,19.6,,29182,72.4459712,5137,AR,1.026339691,88.12287768,,-62.37542446
5139,AR,16.7,,36934,-6.617401163,5139,AR,,-18.29022602,5.055423691,32.16650077
5141,AR,25.9,,32142,-27.50587199,5141,AR,45.63210897,-3.341162654,-3.341162654,35.32237228
5143,AR,20.3,,39692,12.71156975,5143,AR,0,17.87980758,15.11699959,-67.71976919
5145,AR,13.5,,39974,5.832746707,5145,AR,,-6.148318958,-6.148318958,-17.87977909
5147,AR,16.9,,27003,7.887323944,5147,AR,-5.306799337,-19.08450704,0,79.81220657
5149,AR,12.8,,33522,32.84698158,5149,AR,0,-66.78825461,,8.692984929
,California,16.28275862,24.7,51610.2069,-4.062574568,,,48.92786973,-2.856583428,30.82120464,-58.78747945
6001,CA,20.1,,66937,1.498950191,6001,CA,,-6.286556528,11.84161778,-79.97105699
6003,CA,11.1,,44241,-49.33569531,6003,CA,57.81345342,,0,0
6005,CA,14.9,,49516,-1.870602883,6005,CA,,3.901714594,0,-65.36609514
6007,CA,9.3,,41168,0.924169547,6007,CA,0,-7.611508583,-50.85718542,-55.73892196
6009,CA,23.5,,50745,-3.040808454,6009,CA,0,23.7551863,0,-58.11362925
6011,CA,9.4,,44981,-17.87710367,6011,CA,31.46307636,42.34635364,0,-28.82682318
6013,CA,26.8,,73678,-4.740998582,6013,CA,0,0.843691638,-6.396368274,-73.25610522
6015,CA,17.6,,35438,-20.16209665,6015,CA,155.6770622,-9.678331566,,-81.52511327
6017,CA,18,,65201,-18.20450911,6017,CA,-12.87995567,0.286229131,-100,-67.72522131
6019,CA,22.3,,44869,-0.393026326,6019,CA,213.3364624,0.430238508,64.2907706,-55.46697061
6021,CA,13.9,,40859,-28.11319107,6021,CA,,19.44269791,,-20.37153472
6023,CA,21.4,,38254,-1.46671908,6023,CA,-16.8532332,-15.00986288,-4.645212012,-72.24748708
6025,CA,22.5,,39261,-7.558536971,6025,CA,2.912689996,-22.96544748,262.5155413,-35.1179571
6027,CA,21,,44507,0.177750743,6027,CA,58.12672726,-37.14337208,0,-52.85752906
6029,CA,16.8,,45045,-1.339183133,6029,CA,93.11569319,-6.900736227,83.30424992,-42.63655238
6031,CA,17.6,,44020,13.13226395,6031,CA,,0.778740872,,-31.55942895
6033,CA,21.7,,35914,9.693065792,6033,CA,-14.5420098,-11.59604895,0,-34.88978843
6035,CA,9.2,,50093,4.002020322,6035,CA,,-16.79838374,0,-34.9987373
6037,CA,14.8,,52595,4.056683151,6037,CA,87.0018924,-3.69598163,58.77972649,-75.82710678
6039,CA,19.6,,43596,8.031698732,6039,CA,109.568535,24.02600218,0,-27.37857507
6041,CA,23.1,,82383,3.665879031,6041,CA,-34.47847573,0.611920029,-3.893091315,-87.28908627
